,lat,long,gridX,gridY,grid
"1781 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2490199,-122.7716179,3,3,"[3,3]"
"1787 LANGAN AVE, Port Coquitlam, BC, Canada",49.2504306,-122.7662118,4,3,"[4,3]"
"1956 CAMPBELL AVE, Port Coquitlam, BC, Canada",49.2423373,-122.770628,3,2,"[3,2]"
"1764 PEKRUL PL, Port Coquitlam, BC, Canada",49.2483401,-122.7651264,4,3,"[4,3]"
"1932 VALENS ST, Port Coquitlam, BC, Canada",49.25149469999999,-122.7637033,4,4,"[4,4]"
"1985 WADDELL AVE, Port Coquitlam, BC, Canada",49.2467944,-122.7720695,3,3,"[3,3]"
"1824 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2494545,-122.7723395,3,3,"[3,3]"
"1774 MORGAN AVE, Port Coquitlam, BC, Canada",49.24895009999999,-122.7652973,4,3,"[4,3]"
"1653 TAYLOR ST, Port Coquitlam, BC, Canada",49.2460501,-122.7688424,4,3,"[4,3]"
"1677 TAYLOR ST, Port Coquitlam, BC, Canada",49.24651799999999,-122.768758,4,3,"[4,3]"
"1950 MERCER AVE, Port Coquitlam, BC, Canada",49.2451788,-122.770745,3,3,"[3,3]"
"1775 MORGAN AVE, Port Coquitlam, BC, Canada",49.249426,-122.765925,4,3,"[4,3]"
"1814 TAYLOR ST, Port Coquitlam, BC, Canada",49.250564,-122.76959,3,3,"[3,3]"
"1749 LANGAN AVE, Port Coquitlam, BC, Canada",49.250469,-122.7645489,4,3,"[4,3]"
"1952 MORGAN AVE, Port Coquitlam, BC, Canada",49.248889,-122.770625,3,3,"[3,3]"
"1909 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2514314,-122.7720697,3,4,"[3,4]"
"1756 MORGAN AVE, Port Coquitlam, BC, Canada",49.248949,-122.7646501,4,3,"[4,3]"
"1657 KNAPPEN ST, Port Coquitlam, BC, Canada",49.2461394,-122.7715368,3,3,"[3,3]"
"1860 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2503293,-122.772597,3,3,"[3,3]"
"1938 CONNAUGHT AVE, Port Coquitlam, BC, Canada",49.24717860000001,-122.7696105,3,3,"[3,3]"
"1667 MAGELLAN ST, Port Coquitlam, BC, Canada",49.2464199,-122.7702946,3,3,"[3,3]"
"1953 TAYLOR ST, Port Coquitlam, BC, Canada",49.252342,-122.7687289,4,4,"[4,4]"
"1935 BROWN ST, Port Coquitlam, BC, Canada",49.251859,-122.767115,4,4,"[4,4]"
"1760 ANDERSON WAY, Port Coquitlam, BC, Canada",49.2515902,-122.7650736,4,4,"[4,4]"
"1805 HOMFELD PL, Port Coquitlam, BC, Canada",49.25065439999999,-122.7679439,4,3,"[4,3]"
"1756 LANGAN AVE, Port Coquitlam, BC, Canada",49.2499168,-122.7647646,4,3,"[4,3]"
"1942 TAYLOR ST, Port Coquitlam, BC, Canada",49.25190019999999,-122.7695266,3,4,"[3,4]"
"1701 TAYLOR ST, Port Coquitlam, BC, Canada",49.2475843,-122.7688926,3,3,"[3,3]"
"1923 WARWICK AVE, Port Coquitlam, BC, Canada",49.251348,-122.7702874,3,4,"[3,4]"
"1912 TYLER AVE, Port Coquitlam, BC, Canada",49.2520031,-122.770595,3,4,"[3,4]"
"1617 TAYLOR ST, Port Coquitlam, BC, Canada",49.2450633,-122.7688815,4,2,"[4,2]"
"1836 LANGAN AVE, Port Coquitlam, BC, Canada",49.2499048,-122.7678638,4,3,"[4,3]"
"1656 KNAPPEN ST, Port Coquitlam, BC, Canada",49.2461595,-122.7722553,3,3,"[3,3]"
"1819 LANGAN AVE, Port Coquitlam, BC, Canada",49.250457,-122.7671029,4,3,"[4,3]"
"1620 CONNAUGHT DR, Port Coquitlam, BC, Canada",49.2450191,-122.7675766,4,2,"[4,2]"
"1771 SCARBOROUGH CRES, Port Coquitlam, BC, Canada",49.24879079999999,-122.7730332,3,3,"[3,3]"
"1747 MORGAN AVE, Port Coquitlam, BC, Canada",49.2493602,-122.7643639,4,3,"[4,3]"
"1755 MORGAN AVE, Port Coquitlam, BC, Canada",49.2493971,-122.7648667,4,3,"[4,3]"
"1742 LANGAN AVE, Port Coquitlam, BC, Canada",49.2499079,-122.7638185,4,3,"[4,3]"
"1644 KNAPPEN ST, Port Coquitlam, BC, Canada",49.24585270000001,-122.7722452,3,3,"[3,3]"
"1952 CONNAUGHT AVE, Port Coquitlam, BC, Canada",49.2471912,-122.7704056,3,3,"[3,3]"
"1625 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2454105,-122.7730192,3,3,"[3,3]"
"1954 LANGAN AVE, Port Coquitlam, BC, Canada",49.249888,-122.770577,3,3,"[3,3]"
"1972 WARWICK AVE, Port Coquitlam, BC, Canada",49.250872,-122.7712491,3,3,"[3,3]"
"1929 TYLER AVE, Port Coquitlam, BC, Canada",49.252571,-122.7715533,3,4,"[3,4]"
"1738 MORGAN AVE, Port Coquitlam, BC, Canada",49.248947,-122.764046,4,3,"[4,3]"
"1656 CONNAUGHT DR, Port Coquitlam, BC, Canada",49.2460274,-122.7678006,4,3,"[4,3]"
"1676 TAYLOR ST, Port Coquitlam, BC, Canada",49.246691,-122.769572,3,3,"[3,3]"
"1907 MORGAN AVE, Port Coquitlam, BC, Canada",49.24947,-122.769295,3,3,"[3,3]"
"1961 CAMPBELL AVE, Port Coquitlam, BC, Canada",49.2427515,-122.7708565,3,2,"[3,2]"
"1929 CAMPBELL AVE, Port Coquitlam, BC, Canada",49.2427254,-122.7699653,3,2,"[3,2]"
"1574 KNAPPEN ST, Port Coquitlam, BC, Canada",49.2438164,-122.772242,3,2,"[3,2]"
"1956 CAMERON AVE, Port Coquitlam, BC, Canada",49.2479264,-122.7707397,3,3,"[3,3]"
"1806 TAYLOR ST, Port Coquitlam, BC, Canada",49.250345,-122.7695909,3,3,"[3,3]"
"1965 PITT RIVER RD, Port Coquitlam, BC, Canada",49.252723,-122.772715,3,4,"[3,4]"
"1912 LANGAN AVE, Port Coquitlam, BC, Canada",49.2498829,-122.769491,3,3,"[3,3]"
"1744 WARWICK AVE, Port Coquitlam, BC, Canada",49.2509314,-122.7649168,4,3,"[4,3]"
"1967 WADDELL AVE, Port Coquitlam, BC, Canada",49.2467468,-122.7713845,3,3,"[3,3]"
"1979 CAMERON AVE, Port Coquitlam, BC, Canada",49.24829,-122.771519,3,3,"[3,3]"
"1936 LEACOCK ST, Port Coquitlam, BC, Canada",49.2516186,-122.7711069,3,4,"[3,4]"
"1954 MCLEAN AVE, Port Coquitlam, BC, Canada",49.253118,-122.77144,3,4,"[3,4]"
"1927 MORGAN AVE, Port Coquitlam, BC, Canada",49.2493667,-122.7697697,3,3,"[3,3]"
"1786 LANGAN AVE, Port Coquitlam, BC, Canada",49.2498955,-122.7661189,4,3,"[4,3]"
"1568 KNAPPEN ST, Port Coquitlam, BC, Canada",49.2437187,-122.7722706,3,2,"[3,2]"
"1755 ANDERSON WAY, Port Coquitlam, BC, Canada",49.25198,-122.764812,4,4,"[4,4]"
"1744 LANGAN AVE, Port Coquitlam, BC, Canada",49.249832,-122.764065,4,3,"[4,3]"
"1954 WADDELL AVE, Port Coquitlam, BC, Canada",49.2464033,-122.7708432,3,3,"[3,3]"
"1775 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2487794,-122.7715385,3,3,"[3,3]"
"1845 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2499626,-122.7717336,3,3,"[3,3]"
"1965 LANGAN AVE, Port Coquitlam, BC, Canada",49.2504648,-122.7710419,3,3,"[3,3]"
"1963 TAYLOR ST, Port Coquitlam, BC, Canada",49.252897,-122.768726,4,4,"[4,4]"
"1943 TAYLOR ST, Port Coquitlam, BC, Canada",49.251917,-122.768731,4,4,"[4,4]"
"2052 POOLEY AVE, Port Coquitlam, BC, Canada",49.2443697,-122.772904,3,2,"[3,2]"
"1937 LANGAN AVE, Port Coquitlam, BC, Canada",49.250472,-122.770143,3,3,"[3,3]"
"1964 CAMPBELL AVE, Port Coquitlam, BC, Canada",49.242315,-122.770826,3,2,"[3,2]"
"1970 MCLEAN AVE, Port Coquitlam, BC, Canada",49.2530082,-122.7720653,3,4,"[3,4]"
"1753 PEKRUL PL, Port Coquitlam, BC, Canada",49.24869200000001,-122.7646439,4,3,"[4,3]"
"1760 WARWICK AVE, Port Coquitlam, BC, Canada",49.2509026,-122.7654246,4,3,"[4,3]"
"1781 LANGAN AVE, Port Coquitlam, BC, Canada",49.2504205,-122.7659652,4,3,"[4,3]"
"1731 ANDERSON WAY, Port Coquitlam, BC, Canada",49.252007,-122.7639028,4,4,"[4,4]"
"1908 MERCER AVE, Port Coquitlam, BC, Canada",49.2452124,-122.7693873,3,3,"[3,3]"
"1960 TAYLOR ST, Port Coquitlam, BC, Canada",49.252579,-122.7695593,3,4,"[3,4]"
"1820 PITT RIVER RD, Port Coquitlam, BC, Canada",49.2493255,-122.7723274,3,3,"[3,3]"
"1955 PITT RIVER RD, Port Coquitlam, BC, Canada",49.252391,-122.772477,3,4,"[3,4]"
"1766 MORGAN AVE, Port Coquitlam, BC, Canada",49.248949,-122.76508,4,3,"[4,3]"
"1784 PEKRUL PL, Port Coquitlam, BC, Canada",49.2485306,-122.7659194,4,3,"[4,3]"
