,lat,long
"2183 DRAWBRIDGE CLOSE, Port Coquitlam, BC, Canada",49.23163599999999,-122.7768089
"1959 EUREKA AVE, Port Coquitlam, BC, Canada",49.236538,-122.771008
"1256 GATEWAY PL, Port Coquitlam, BC, Canada",49.2366,-122.77552
"1269 YARMOUTH ST, Port Coquitlam, BC, Canada",49.2366564,-122.7735883
"948 FORT FRASER RISE, Port Coquitlam, BC, Canada",49.23121399999999,-122.7917779
"1136 SETTLERS CRT, Port Coquitlam, BC, Canada",49.2337268,-122.7861247
"1438 JUNE CRES, Port Coquitlam, BC, Canada",49.2403255,-122.7865422
"1496 MARY HILL LANE, Port Coquitlam, BC, Canada",49.2419277,-122.7873736
"2185 DRAWBRIDGE CLOSE, Port Coquitlam, BC, Canada",49.231783,-122.776783
"2391 BEGBIE TERR, Port Coquitlam, BC, Canada",49.234748,-122.780761
"1235 NUGGET ST, Port Coquitlam, BC, Canada",49.2371242,-122.7690588
"1277 EASTERN DR, Port Coquitlam, BC, Canada",49.238041,-122.7882689
"2668 FORTRESS CRT, Port Coquitlam, BC, Canada",49.230098,-122.789528
"1305 PITT RIVER RD, Port Coquitlam, BC, Canada",49.23834040000001,-122.7714982
"2674 KLASSEN CRT, Port Coquitlam, BC, Canada",49.238057,-122.78777
"1449 ELINOR CRES, Port Coquitlam, BC, Canada",49.2408232,-122.7874234
"1468 HELEN DR, Port Coquitlam, BC, Canada",49.2418714,-122.784921
"1151 HOMESTEADER CRT, Port Coquitlam, BC, Canada",49.23341509999999,-122.7872445
"1047 CITADEL DR, Port Coquitlam, BC, Canada",49.2338821,-122.7792413
"1071 YARMOUTH ST, Port Coquitlam, BC, Canada",49.2334541,-122.7734088
"1189 FLETCHER WAY, Port Coquitlam, BC, Canada",49.236315,-122.789674
"832 BAILEY CRT, Port Coquitlam, BC, Canada",49.23417800000001,-122.78392
"1802 EUREKA AVE, Port Coquitlam, BC, Canada",49.2376486,-122.7665102
"2629 FORTRESS DR, Port Coquitlam, BC, Canada",49.2315285,-122.7910096
"839 CITADEL DR, Port Coquitlam, BC, Canada",49.231133,-122.7868009
"1393 YARMOUTH ST, Port Coquitlam, BC, Canada",49.2386511,-122.7733042
"1149 CASTLE CRES, Port Coquitlam, BC, Canada",49.2339083,-122.776239
"1116 FLETCHER WAY, Port Coquitlam, BC, Canada",49.23399819999999,-122.7901382
"2547 COLONIAL DR, Port Coquitlam, BC, Canada",49.23700239999999,-122.7830708
"1246 BENNECK WAY, Port Coquitlam, BC, Canada",49.2363667,-122.7874995
"2445 BEGBIE TERR, Port Coquitlam, BC, Canada",49.2348375,-122.7811081
"2158 PARAPET TERR, Port Coquitlam, BC, Canada",49.2348761,-122.7750075
"1109 FLETCHER WAY, Port Coquitlam, BC, Canada",49.2337427,-122.7906621
"859 MUSKET TERR, Port Coquitlam, BC, Canada",49.2312101,-122.7879083
"2691 PIONEER WAY, Port Coquitlam, BC, Canada",49.2339808,-122.7882466
"2520 COLONIAL DR, Port Coquitlam, BC, Canada",49.236166,-122.782916
"1259 DEWAR WAY, Port Coquitlam, BC, Canada",49.2370035,-122.786265
"2339 KENSINGTON CRES, Port Coquitlam, BC, Canada",49.23628,-122.778271
